Country,Region,  Ranking Status Index,  S | Status Index,  Ranking Democracy Status,  SI | Democracy Status,  Q1 | Stateness,  Q1.1 | Monopoly on the use of force,  Q1.2 | State identity,  Q1.3 | No interference of religious dogmas,  Q1.4 | Basic administration,  Q2 | Political Participation,  Q2.1 | Free and fair elections,  Q2.2 | Effective power to govern,  Q2.3 | Association / assembly rights,  Q2.4 | Freedom of expression,  Q3 | Rule of Law,  Q3.1 | Separation of powers,  Q3.2 | Independent judiciary,  Q3.3 | Prosecution of office abuse,  Q3.4 | Civil rights,  Q4 | Stability of Democratic Institutions,  Q4.1 | Performance of democratic institutions,  Q4.2 | Commitment to democratic institutions,  Q5 | Political and Social Integration,  Q5.1 | Party system,  Q5.2 | Interest groups,  Q5.4 | Social capital,  Ranking Economy Status,  SII | Economy Status,  Q6 | Level of Socioeconomic Development,  Q6.1 | Socioeconomic barriers,  Q7 | Organization of the Market and Competition,  Q7.1 | Market organization,  Q7.2 | Competition policy,  Q7.3 | Liberalization of foreign trade,  Q7.4 | Banking system,  Q8 | Monetary and Fiscal Stability,  Q8.1 | Monetary stability,  Q8.2 | Fiscal stability,  Q9 | Private Property,  Q9.1 | Property rights,  Q9.2 | Private enterprise,  Q10 | Welfare Regime,  Q10.1 | Social safety nets,  Q10.2 | Equal opportunity,  Q11 | Economic Performance,  Q11.1 | Output strength,  Q12 | Sustainability,  Q12.1 | Environmental policy,  Q12.2 | Education / R&D policy,  Ranking Governance Index,  G | Governance Index,  Q13 | Level of Difficulty,  Q13.1 | Structural constraints,  Q13.2 | Civil society traditions,  Q13.3 | Conflict intensity,  Q13.4 | GNI p.c. Atlas method rescaled,  Q13.5 | UN Educ. Index rescaled,  Q13.6 | BTI Stateness & Rule of Law,  GII | Governance Performance,  Q14 | Steering Capability,  Q14.1 | Prioritization,  Q14.2 | Implementation,  Q14.3 | Policy learning,  Q15 | Resource Efficiency,  Q15.1 | Efficient use of assets,  Q15.2 | Policy coordination,  Q15.3 | Anti-corruption policy,  Q16 | Consensus-Building,  Q16.1 | Consensus on goals,  Q16.2 | Anti-democratic actors,  Q16.3 | Cleavage / conflict management,  Q17 | International Cooperation,  Q17.1 | Effective use of support,  Q17.2 | Credibility,  Q17.3 | Regional cooperation,  Total,Democracy/Autocracy,  S | Status Index.1,  Category,Status Index,  SI | Democracy Status.1,  Category.1,Democracy Status,  SII | Economy Status.1,  Category.2,Economy Status,  G | Governance Index.1,  Category.3,Governance Index,  Q13 | Level of Difficulty.1,  Category.4,0.4,  GII | Governance Performance.1,  Category.5,Governance Performance,Year
Benin,3,48,6.075,34,6.9,8.25,9,9,9,6,7,6,9,6,7,5.75,5,6,5,7,6.5,7,6,7,5,8,6,75,5.25,2,2,5.75,5,5,7,6,7.5,8,7,6.5,6,7,4.5,4,5,6,6,4.5,5,4,28,5.85,5.5,8,3,3,8,7,4,6.5,6,6,6,6,5.666666667,6,6,5,7,7,9,6,7.333333333,7,7,8,0,Dem.,6.08,3,Limited,6.9,2,Defective democracies,5.25,3,Limited,5.85,2,Good,5.5,3,Moderate,6.5,2,Sound,2022
Bhutan,7,38,6.382142857,29,7.05,7.5,8,7,7,8,7,8,7,6,7,7.5,8,7,8,7,8,8,8,5.25,6,3,5,60,5.714285714,5,5,4.5,5,3,5,5,5.5,5,6,7,8,6,5,5,5,7,7,6,7,5,13,6.688734568,5.583333333,6,9,2,6,7,3.5,7.416666667,7.333333333,7,8,7,7.666666667,7,7,9,6,7,7,7,8.666666667,9,9,8,0,Dem.,6.38,3,Limited,7.05,2,Defective democracies,5.71,3,Limited,6.69,2,Good,5.6,3,Moderate,7.416666667,2,Sound,2022
Bolivia,2,45,6.167857143,29,7.05,8.5,8,9,10,7,8.5,9,9,8,8,5.5,6,5,5,6,6.5,7,6,6.25,6,7,6,74,5.285714286,4,4,6,4,6,7,7,7,8,6,5,5,5,5,5,5,5,5,5,5,5,39,5.535,5.5,8,6,6,6,3,4,6.15,6.333333333,6,7,6,4.666666667,4,6,4,6.6,6,7,6,7,7,6,8,0,Dem.,6.17,3,Limited,7.05,2,Defective democracies,5.29,3,Limited,5.54,3,Moderate,5.5,3,Moderate,6.15,2,Sound,2022
Bosnia and Herzegovina,1,54,5.925,62,5.6,6.75,8,4,8,7,6,6,5,7,6,6,7,5,5,7,4,4,4,5.25,4,5,6,35,6.25,6,6,7.25,5,7,9,8,8,9,7,7.5,8,7,5.5,6,5,5,5,4.5,4,5,106,3.781635802,4.270833333,5,5,5,4,2,4.625,4.333333333,4.333333333,4,5,4,4,5,3,4,4,6,5,2,5,5,4,6,0,Dem.,5.93,3,Limited,5.6,3,Highly defective democracies,6.25,3,Limited,3.78,4,Weak,4.3,4,Minor,4.333333333,4,Flawed,2022
Botswana,5,16,7.589285714,15,8.25,9,10,9,10,7,8.25,8,10,8,7,8,8,9,7,8,9,9,9,7,7,6,6,22,6.928571429,4,4,8,8,7,8,9,9.5,10,9,8.5,9,8,6.5,6,7,6,6,6,6,6,9,6.805671296,3.583333333,5,6,1,4,3,2.5,7.9375,7,8,7,6,7.666666667,7,9,7,7.75,9,9,7,9.333333333,10,9,9,0,Dem.,7.59,2,Advanced,8.25,1,Democracies in consolidation,6.93,3,Limited,6.81,2,Good,3.6,4,Minor,7.9375,2,Sound,2022
Brazil,2,23,6.828571429,29,7.05,7.75,7,9,8,7,8,9,9,8,6,7,9,7,7,5,6.5,6,7,6,4,8,6,30,6.607142857,6,6,7.75,6,9,7,9,7.5,8,7,8.5,9,8,6.5,7,6,5,5,5,4,6,85,4.422746914,3.770833333,5,3,5,3,3,3.625,5.133333333,5.333333333,5,7,4,6,6,6,6,4.2,6,7,2,5,5,5,5,0,Dem.,6.83,3,Limited,7.05,2,Defective democracies,6.61,3,Limited,4.42,3,Moderate,3.8,4,Minor,5.133333333,3,Fair,2022
Bulgaria,1,17,7.460714286,25,7.35,9,10,10,8,8,7.5,8,8,8,6,6.75,7,7,6,7,7,6,8,6.5,6,7,7,18,7.571428571,6,6,8.5,8,8,10,8,9.5,10,9,8.5,8,9,7,7,7,7,7,6.5,7,6,27,5.869560185,3.1875,4,4,4,3,1,3.125,6.916666667,6,6,6,6,7,7,7,7,7,9,7,6,7.666666667,9,7,7,0,Dem.,7.46,2,Advanced,7.35,2,Defective democracies,7.57,2,Advanced,5.87,2,Good,3.2,4,Minor,6.916666667,2,Sound,2022
Burkina Faso,3,70,5.103571429,60,5.85,6.5,4,10,7,5,6.5,7,7,6,6,4,4,4,4,4,6,6,6,6.25,5,7,6,96,4.357142857,1,1,5.5,4,6,6,6,7.5,8,7,5.5,5,6,3,3,3,5,5,3,4,2,50,5.236527778,7.458333333,9,4,7,9,10,5.75,5.55,4.666666667,5,5,4,4,3,5,4,5.2,6,5,5,8.333333333,8,8,9,0,Dem.,5.1,4,Very limited,5.85,3,Highly defective democracies,4.36,4,Very limited,5.24,3,Moderate,7.5,2,Substantial,5.55,3,Fair,2022
Burundi,5,117,3.382142857,110,3.55,6.5,7,8,7,4,2.75,3,3,2,3,2.5,3,3,2,2,2,2,2,4,4,4,4,119,3.214285714,1,1,3.5,3,4,4,3,5.5,5,6,4,4,4,3.5,3,4,2,2,3,3,3,115,3.248209877,8.416666667,10,9,7,10,8,6.5,3.366666667,4,4,4,4,2.666666667,3,4,1,2.8,4,3,2,4,5,3,4,6,Aut.,3.38,5,Failed,3.55,5,Hard-line autocracies,3.21,4,Very limited,3.25,4,Weak,8.4,2,Substantial,3.366666667,4,Flawed,2022
Cambodia,7,110,3.863095238,119,3.083333333,7.75,9,8,9,5,1.75,2,1,2,2,1.75,1,2,2,2,1.5,2,1,2.666666667,2,2,4,86,4.642857143,4,4,4.5,4,3,6,5,7,7,7,4,3,5,3.5,4,3,7,7,2.5,2,3,118,3.05191358,7.041666667,7,9,5,8,7,6.25,3.266666667,3,3,3,3,2.666666667,3,4,1,2.4,3,1,3,5,4,5,6,6,Aut.,3.86,5,Failed,3.08,5,Hard-line autocracies,4.64,4,Very limited,3.05,4,Weak,7,2,Substantial,3.266666667,4,Flawed,2022
Cameroon,3,105,4.111904762,107,3.616666667,5.5,5,5,7,5,3,4,2,4,2,3.25,3,3,4,3,2,2,2,4.333333333,5,4,4,88,4.607142857,3,3,4.75,4,4,5,6,6.5,8,5,3.5,3,4,4.5,4,5,6,6,4,4,4,99,3.945231481,6.9375,6,8,7,8,6,6.625,4.233333333,4,4,4,4,3.333333333,3,4,3,3.6,4,3,3,6,6,6,6,5,Aut.,4.11,4,Very limited,3.62,5,Hard-line autocracies,4.61,4,Very limited,3.95,4,Weak,6.9,2,Substantial,4.233333333,4,Flawed,2022
Central African Republic,3,123,3.110714286,113,3.4,3.5,2,3,8,1,4.5,5,2,6,5,3.5,4,4,3,3,2.5,2,3,3,4,3,2,122,2.821428571,1,1,3.25,2,4,3,4,5.5,7,4,3,3,3,2.5,2,3,3,3,1.5,2,1,105,3.806111111,8.916666667,10,8,10,9,9,7.5,3.9,3,3,3,3,3.333333333,3,4,3,3.6,4,3,2,5.666666667,6,5,6,4,Aut.,3.11,5,Failed,3.4,5,Hard-line autocracies,2.82,5,Rudimentary,3.81,4,Weak,8.9,1,Massive,3.9,4,Flawed,2022
Chad,3,124,3.071428571,124,3,6,7,8,7,2,2.25,3,2,2,2,2.25,2,1,3,3,1.5,2,1,3,2,3,4,121,3.142857143,1,1,4,3,4,4,5,5,7,3,3.5,3,4,2,2,2,4,4,2.5,3,2,126,2.630833333,8.3125,9,9,6,9,10,6.875,2.733333333,1.666666667,1,3,1,2,2,2,2,2.6,2,2,3,4.666666667,4,4,6,6,Aut.,3.07,5,Failed,3,5,Hard-line autocracies,3.14,4,Very limited,2.63,5,Failed,8.3,2,Substantial,2.733333333,5,Poor,2022
Chile,2,9,8.742857143,6,9.2,9.75,9,10,10,10,9.75,10,10,9,10,9.5,10,10,10,8,10,10,10,7,6,8,7,11,8.285714286,7,7,9.5,9,9,10,10,9,10,8,10,10,10,8,8,8,7,7,7.5,9,6,4,7.146759259,2.395833333,3,3,5,1,1,1.375,8.6,7.333333333,7,7,8,8.666666667,9,8,9,8.4,8,10,7,10,10,10,10,0,Dem.,8.74,1,Highly advanced,9.2,1,Democracies in consolidation,8.29,1,Highly advanced,7.15,1,Very good,2.4,5,Negligible,8.6,1,Excellent,2022
China,7,78,4.938095238,116,3.233333333,8.5,9,7,10,8,1.5,1,2,2,1,2.5,1,2,5,2,1,1,1,2.666666667,1,2,5,29,6.642857143,5,5,6.5,6,7,7,6,7.5,7,8,6,6,6,5.5,5,6,9,9,7,6,8,48,5.29212963,5.25,6,9,5,3,3,5.5,5.916666667,7.666666667,8,7,8,5.666666667,6,6,5,4,7,1,5,6.333333333,8,6,5,6,Aut.,4.94,4,Very limited,3.23,5,Hard-line autocracies,6.64,3,Limited,5.29,3,Moderate,5.3,3,Moderate,5.916666667,3,Fair,2022
Colombia,2,35,6.45,47,6.4,7,6,8,8,6,6.75,7,7,6,7,5.75,6,6,6,5,7,7,7,5.5,5,6,5,31,6.5,5,5,7.5,7,7,8,8,8.5,9,8,7.5,7,8,6,6,6,6,6,5,5,5,50,5.243248457,5.104166667,7,5,7,4,3,4.625,5.883333333,6,7,5,6,5.333333333,5,6,5,5.2,6,6,5,7,7,7,7,0,Dem.,6.45,3,Limited,6.4,2,Defective democracies,6.5,3,Limited,5.24,3,Moderate,5.1,3,Moderate,5.883333333,3,Fair,2022
"Congo, DR",3,120,3.244047619,103,3.666666667,5.5,3,9,8,2,3.5,4,2,4,4,3,3,2,4,3,2,2,2,4.333333333,4,4,5,122,2.821428571,1,1,3.25,2,3,4,4,4,5,3,3.5,3,4,1,1,1,5,5,2,2,2,125,2.646743827,7.791666667,10,6,8,9,7,6.75,2.783333333,2.333333333,3,2,2,2,2,2,2,2.8,3,2,3,4,3,3,6,5,Aut.,3.24,5,Failed,3.67,5,Hard-line autocracies,2.82,5,Rudimentary,2.65,5,Failed,7.8,2,Substantial,2.783333333,5,Poor,2022
"Congo, Rep.",3,119,3.317857143,115,3.35,6.75,7,6,10,4,2.5,2,2,3,3,2.5,2,3,3,2,2,2,2,3,3,3,3,117,3.285714286,3,3,3,3,2,3,4,5.5,7,4,3,3,3,2.5,3,2,4,4,2,2,2,122,2.928796296,7.0625,7,8,7,8,6,6.375,3.133333333,3,4,3,2,2.666666667,3,3,2,2.2,3,2,2,4.666666667,4,4,6,6,Aut.,3.32,5,Failed,3.35,5,Hard-line autocracies,3.29,4,Very limited,2.93,5,Failed,7.1,2,Substantial,3.133333333,4,Flawed,2022
Costa Rica,2,11,8.371428571,7,9.1,9.25,9,10,9,9,10,10,10,10,10,9.5,10,10,9,9,9,8,10,7.75,6,9,8,17,7.642857143,6,6,8.5,8,8,10,8,8,10,6,9,9,9,8,8,8,7,7,7,7,7,5,7.128809799,2.104166667,4,2,1,2,2,1.625,8.645833333,8.333333333,10,7,8,7.333333333,7,7,8,9.25,10,10,9,9.666666667,10,10,9,0,Dem.,8.37,2,Advanced,9.1,1,Democracies in consolidation,7.64,2,Advanced,7.13,1,Very good,2.1,5,Negligible,8.645833333,1,Excellent,2022
Côte d'Ivoire,3,77,4.970238095,73,4.833333333,7.5,9,6,9,6,5.25,5,3,7,6,3.75,4,3,3,5,3,3,3,4.666666667,6,4,4,78,5.107142857,2,2,5.75,6,4,6,7,7.5,8,7,7,6,8,4,4,4,7,7,2.5,2,3,42,5.396790123,6.395833333,6,8,5,7,7,5.375,5.866666667,6,5,7,6,5.333333333,7,6,3,4.8,6,6,4,7.333333333,8,7,7,2,Aut.,4.97,4,Very limited,4.83,4,Moderate autocracies,5.11,3,Limited,5.4,3,Moderate,6.4,3,Moderate,5.866666667,3,Fair,2022
Croatia,1,13,8.132142857,14,8.3,9.25,10,10,8,9,8.5,9,9,10,6,7.25,8,7,6,8,9,9,9,7.5,7,9,7,13,7.964285714,8,8,9.25,8,10,10,9,8,9,7,8,9,7,8,8,8,7,7,7.5,8,7,25,5.980478395,2.291666667,4,3,2,1,1,2.75,7.216666667,6.333333333,7,6,6,6.666666667,7,6,7,8.2,9,9,8,7.666666667,8,8,7,0,Dem.,8.13,2,Advanced,8.3,1,Democracies in consolidation,7.96,2,Advanced,5.98,2,Good,2.3,5,Negligible,7.216666667,2,Sound,2022
Cuba,2,113,3.695238095,111,3.533333333,9,10,9,10,7,1.75,1,1,2,3,3.25,2,2,5,4,1,1,1,2.666666667,1,3,4,109,3.857142857,5,5,2,3,2,2,1,3.5,3,4,2.5,3,2,6,6,6,2,2,6,5,7,81,4.455416667,4.3125,7,7,2,4,1,4.875,5.1,6.333333333,7,6,6,4.666666667,3,6,5,3.4,3,1,6,6,6,5,7,5,Aut.,3.7,5,Failed,3.53,5,Hard-line autocracies,3.86,4,Very limited,4.46,3,Moderate,4.3,4,Minor,5.1,3,Fair,2022
Czech Republic,1,3,9.310714286,5,9.3,10,10,10,10,10,9.75,10,10,10,9,9,10,10,7,9,9,9,9,8.75,7,10,9,2,9.321428571,9,9,9.75,10,9,10,10,9,10,8,10,10,10,9.5,10,9,9,9,9,9,9,14,6.642006173,1.083333333,1,1,1,1,1,1.5,8.283333333,7.666666667,8,8,7,7,7,7,7,8.8,10,10,8,9.666666667,10,9,10,0,Dem.,9.31,1,Highly advanced,9.3,1,Democracies in consolidation,9.32,1,Highly advanced,6.64,2,Good,1.1,5,Negligible,8.283333333,1,Excellent,2022
Djibouti,5,104,4.119047619,103,3.666666667,6.75,10,7,6,4,2.75,4,3,3,1,3,3,3,3,3,2.5,3,2,3.333333333,3,2,5,89,4.571428571,2,2,5,5,2,6,7,5,6,4,6,5,7,4.5,5,4,6,6,3.5,3,4,52,5.174787809,7.020833333,7,10,3,6,10,6.125,5.541666667,5.333333333,5,6,5,5.333333333,5,8,3,3.5,6,1,6,8,9,7,8,6,Aut.,4.12,4,Very limited,3.67,5,Hard-line autocracies,4.57,4,Very limited,5.17,3,Moderate,7,2,Substantial,5.541666667,3,Fair,2022
Dominican Republic,2,40,6.317857143,35,6.85,7.75,8,7,9,7,8,7,8,9,8,5.25,6,5,4,6,7,7,7,6.25,6,6,6,55,5.785714286,5,5,6.5,6,6,7,7,7.5,8,7,6.5,6,7,4.5,5,4,6,6,4.5,4,5,29,5.844405864,4.083333333,5,5,3,4,3,4.5,6.729166667,6.666666667,7,6,7,5.333333333,6,7,3,7.25,8,9,7,7.666666667,8,7,8,0,Dem.,6.32,3,Limited,6.85,2,Defective democracies,5.79,3,Limited,5.84,2,Good,4.1,4,Minor,6.729166667,2,Sound,2022
Ecuador,2,44,6.232142857,32,7,8,9,9,8,6,8.25,8,9,9,7,6.5,7,6,6,7,7,7,7,5.25,5,6,5,65,5.464285714,5,5,6.25,5,6,7,7,6.5,8,5,6.5,6,7,5.5,5,6,4,4,4.5,4,5,67,4.877488426,4.458333333,6,6,4,5,2,3.75,5.5625,4.333333333,5,4,4,4.333333333,4,4,5,6.25,6,8,6,7.333333333,7,7,8,0,Dem.,6.23,3,Limited,7,2,Defective democracies,5.46,3,Limited,4.88,3,Moderate,4.5,3,Moderate,5.5625,3,Fair,2022
Egypt,4,103,4.129761905,114,3.366666667,6.75,7,8,6,6,2.25,2,2,3,2,2.5,2,3,3,2,2,2,2,3.333333333,2,3,5,82,4.892857143,3,3,5.75,4,5,7,7,5.5,6,5,6,5,7,4,4,4,6,6,4,4,4,108,3.771666667,6.0625,7,5,7,7,4,6.375,4.133333333,4.333333333,5,5,3,4,4,5,3,2.2,3,1,3,6,5,5,8,6,Aut.,4.13,4,Very limited,3.37,5,Hard-line autocracies,4.89,4,Very limited,3.77,4,Weak,6.1,3,Moderate,4.133333333,4,Flawed,2022
El Salvador,2,34,6.457142857,40,6.7,7.75,7,9,9,6,8.25,9,9,8,7,5.75,6,6,6,5,6,6,6,5.75,5,7,5,37,6.214285714,4,4,8,6,7,10,9,7.5,9,6,8,7,9,5,5,5,6,6,5,5,5,36,5.629166667,5.208333333,7,5,4,6,5,4.25,6.3,5.333333333,6,6,4,5.666666667,5,7,5,6.2,7,7,7,8,7,7,10,0,Dem.,6.46,3,Limited,6.7,2,Defective democracies,6.21,3,Limited,5.63,2,Good,5.2,3,Moderate,6.3,2,Sound,2022
Equatorial Guinea,3,125,2.972619048,128,2.766666667,6.75,8,6,9,4,2,2,2,2,2,1.75,2,2,1,2,1,1,1,2.333333333,2,2,3,120,3.178571429,2,2,2.75,2,2,3,4,6.5,8,5,2,2,2,3,3,3,3,3,3,3,3,114,3.333919753,6.291666667,8,9,3,4,7,6.75,3.633333333,4,4,3,5,3.333333333,2,7,1,3.2,2,1,7,4,4,3,5,6,Aut.,2.97,5,Failed,2.77,5,Hard-line autocracies,3.18,4,Very limited,3.33,4,Weak,6.3,3,Moderate,3.633333333,4,Flawed,2022
Eritrea,5,134,1.683333333,134,2.116666667,6,7,7,7,3,1,1,1,1,1,1.25,1,1,2,1,1,1,1,1.333333333,1,1,2,137,1.25,1,1,1.25,1,1,1,2,1,1,1,1.5,2,1,1.5,2,1,1,1,1.5,2,1,137,1.120756173,8.229166667,8,10,5,9,10,7.375,1.166666667,1,1,1,1,1.333333333,1,2,1,1,1,1,1,1.333333333,1,1,2,6,Aut.,1.68,5,Failed,2.12,5,Hard-line autocracies,1.25,5,Rudimentary,1.12,5,Failed,8.2,2,Substantial,1.166666667,5,Poor,2022
